airQuality,illness,light,id,fire,sound,soilMoisture,pressure,waterLevel,temperature,humidity,createdAt
1018.0,Normal,664.0,580,82.0,535.0,1.0,100.6766,5.0,27.0,31.0,2019-03-23 20:37:50.031
1016.0,Fungi,736.0,579,83.0,587.0,1.0,101.2443,6.0,27.0,56.0,2019-03-23 20:37:39.014
1017.0,Fungi,733.0,578,82.0,585.0,1.0,100.6044,5.0,27.0,58.0,2019-03-23 20:37:27.876
1016.0,Fungi,684.0,577,82.0,549.0,1.0,101.4474,6.0,27.0,56.0,2019-03-23 20:37:16.817
1015.0,Normal,598.0,576,84.0,488.0,1.0,100.5728,6.0,27.0,47.0,2019-03-23 20:37:05.742
1017.0,Normal,823.0,575,81.0,652.0,1.0,100.8497,5.0,27.0,20.0,2019-03-23 20:36:54.675
1017.0,Normal,563.0,574,81.0,463.0,1.0,100.4052,6.0,27.0,23.0,2019-03-23 20:36:43.614
1017.0,Normal,601.0,573,81.0,504.0,1.0,101.8367,6.0,27.0,24.0,2019-03-23 20:36:32.55
1017.0,Normal,630.0,572,80.0,512.0,1.0,101.6076,6.0,25.0,18.0,2019-03-23 20:35:32.16
1016.0,Normal,529.0,571,81.0,453.0,1.0,101.2884,7.0,25.0,18.0,2019-03-23 20:35:21.11
1016.0,Normal,865.0,570,82.0,682.0,1.0,100.0348,7.0,25.0,18.0,2019-03-23 20:31:56.106
1016.0,Normal,528.0,569,82.0,440.0,1.0,101.1508,6.0,25.0,18.0,2019-03-23 20:31:45.049
1016.0,Normal,544.0,568,82.0,451.0,1.0,100.5094,6.0,25.0,17.0,2019-03-23 20:31:33.97
1017.0,Normal,545.0,567,82.0,451.0,1.0,100.754,7.0,25.0,17.0,2019-03-23 20:31:22.904
1017.0,Normal,537.0,566,81.0,446.0,1.0,101.1184,7.0,25.0,18.0,2019-03-23 20:31:11.835
1016.0,Normal,534.0,565,81.0,443.0,1.0,100.2923,6.0,25.0,18.0,2019-03-23 20:31:00.79
1016.0,Normal,537.0,564,80.0,445.0,1.0,101.0815,7.0,25.0,17.0,2019-03-23 20:30:49.704
1016.0,Normal,534.0,563,81.0,444.0,1.0,100.1008,7.0,25.0,17.0,2019-03-23 20:30:38.712
1017.0,Normal,537.0,562,81.0,445.0,1.0,101.2938,6.0,25.0,17.0,2019-03-23 20:30:27.577
1016.0,Normal,542.0,561,82.0,449.0,1.0,101.3514,7.0,25.0,17.0,2019-03-23 20:30:16.505
1017.0,Normal,545.0,560,81.0,451.0,1.0,100.8823,7.0,25.0,17.0,2019-03-23 20:30:05.445
1016.0,Normal,538.0,559,81.0,446.0,1.0,101.1482,6.0,25.0,17.0,2019-03-23 20:29:54.381
1016.0,Normal,534.0,558,82.0,443.0,1.0,100.9823,6.0,25.0,17.0,2019-03-23 20:29:43.304
1017.0,Normal,543.0,557,81.0,450.0,1.0,101.2786,7.0,25.0,17.0,2019-03-23 20:29:32.247
1015.0,Normal,543.0,556,81.0,449.0,1.0,100.004,7.0,25.0,17.0,2019-03-23 20:29:21.172
1016.0,Normal,534.0,555,82.0,443.0,1.0,100.389,7.0,25.0,17.0,2019-03-23 20:29:10.105
